corpus,chunk1,chunk2,chunk3,chunk4,chunk5
hadbiztosszázados,had,biztos,százados,,
méhnyálkahártya,méh,nyálka,hártya,,
kórjóslat,kór,jós,lat,,
tájképfestő,táj,kép,festő,,
támadójátékosok,tám,adó,játékosok,,
teknősbékahalász,teknősbéka,hal,ász,,
víznyelőakna,víz,nyelő,akna,,
fegyverraktár,fegyver,rak,tár,,
bundapálinka,bunda,pál,inka,,
hajtószárkarika,hajtószár,kar,ika,,
tűzoltókocsi,tűz,oltó,kocsi,,
törvénytisztelő,tör,vény,tisztelő,,
névszóragozás,név,szó,ragozás,,
helytartósági,hely,tartós,ági,,
filmhíradó,film,hír,adó,,
méhészmadár,méh,ész,madár,,
fölértékel,föl,ért,ékel,,
barnavasérc,barna,vas,érc,,
mezőrendőri,mező,rend,őri,,
vonatoszlop,von,atosz,lop,,
vadászkabát,vad,ász,kabát,,
kutyakorbács,kutya,kor,bács,,
halszálkaöltés,hal,szálka,öltés,,
kertészkés,kert,ész,kés,,
földbéruzsora,föld,bér,uzsora,,
hadtápállomás,had,táp,állomás,,
teknősbékahalász,teknős,békahal,ász,,
baritontuba,bari,ton,tuba,,
fűrészfoggenerátor,fűrész,fog,generátor,,
hadirepülőgép,hadi,repülő,gép,,
mintázókalapács,mintázó,kalap,ács,,
földrajztanár,földr,ajz,tanár,,
hajtépázás,haj,tép,ázás,,
kergemarhakór,kerge,marha,kór,,
falkötővas,fal,kötő,vas,,
csecsemőgyilkosság,csecs,emő,gyilkosság,,
lábszárhús,láb,szár,hús,,
falinaptár,fali,nap,tár,,
vadkacsavadászat,vad,kacsa,vadászat,,
fiútestvér,fiú,test,vér,,
szoknyavadász,szoknya,vad,ász,,
szövetkórtan,szövet,kór,tan,,
vázlatkészítés,váz,lat,készítés,,
dinasztia,din,asz,tia,,
vénuszhajnövény,vénusz,haj,növény,,
fizikaszertár,fizika,szer,tár,,
fizikaszertár,fiz,ika,szertár,,
császárvadász,császár,vad,ász,,
ágyúcsőkupak,ágyú,cső,kupak,,
menekültáradat,menekült,ára,dat,,
vadászrepülőgép,vad,ász,repülőgép,,
rajzvázlat,rajz,váz,lat,,
rakodótelep,rak,odó,telep,,
vadászrepülőgép,vadász,repülő,gép,,
végigmosdat,végig,mos,dat,,
támcsavarfej,tám,csavar,fej,,
árokkalapács,árok,kalap,ács,,
nyelvészkongresszus,nyelv,ész,kongresszus,,
színésznépség,szín,ész,népség,,
szakkérdés,szak,kér,dés,,
csengettyűvirág,csenget,tyű,virág,,
rövidárukereskedő,rövid,áru,kereskedő,,
díszsortűz,dísz,sor,tűz,,
vaddisznóvadászat,vad,disznó,vadászat,,
menekültáradat,menekül,tár,adat,,
menekültáradat,menekül,tára,dat,,
gyomorvérzés,gyom,orv,érzés,,
hangszerbolt,hang,szerb,olt,,
bútorfénymáz,bútor,fény,máz,,
fogszabályozástan,fog,szabályozás,tan,,
vándorzenész,vándor,zen,ész,,
unokatestvér,unoka,test,vér,,
dicsekedés,dics,eke,dés,,
csirkeaprólék,csirke,apró,lék,,
vadászezred,vad,ász,ezred,,
szertefuttat,szerte,fut,tat,,
farkaskutya,far,kas,kutya,,
kocadohányos,koca,doh,ányos,,
fémszálfűzés,fém,szál,fűzés,,
távbeszélőnévsor,távbeszélő,név,sor,,
bizalomteljesen,biz,alom,teljesen,,
bizalomteljesen,biza,lom,teljesen,,
síntalpsaru,sín,talp,saru,,
gyógyszerészhallgató,gyógyszer,ész,hallgató,,
szemhéjcsüngés,szem,héj,csüngés,,
szembevágtat,szembe,vág,tat,,
síkesztergapad,sík,eszterga,pad,,
vérforraló,vér,forr,aló,,
osztószámnév,osztó,szám,név,,
farkasvadászat,far,kas,vadászat,,
pénztárszámla,pénz,tár,számla,,
korallhalász,korall,hal,ász,,
vadászpuska,vad,ász,puska,,
szarvasnyelv,szar,vas,nyelv,,
heringfüstölő,hering,füst,ölő,,
tőkésvállalat,tőkés,válla,lat,,
postarepülőgép,posta,repülő,gép,,
karikagyűrű,kar,ika,gyűrű,,
ultrahangtan,ultra,hang,tan,,
tölténykarima,töltény,kar,ima,,
barbarizmus,bar,bar,izmus,,
gyűrűképződés,gyűrű,képző,dés,,
építészmérnök,épít,ész,mérnök,,
sorszámbélyegző,sor,szám,bélyegző,,
mostohatestvér,mostoha,test,vér,,
végigiramlik,végig,iram,lik,,
testvérviszály,test,vér,viszály,,
közbetelepült,közbe,telep,ült,,
húsvétvasárnap,hús,vét,vasárnap,,
verstaníró,vers,tan,író,,
borsosmenta,bor,sos,menta,,
lépcsőkorlát,lépcső,kor,lát,,
vasutasnap,vas,utas,nap,,
kormánytanács,kormány,tan,ács,,
lépcsőkorlát,lép,cső,korlát,,
képernyőlap,kép,ernyő,lap,,
hadtáposzlop,had,táp,oszlop,,
szikvízgyár,szik,víz,gyár,,
sejtközpont,sejt,köz,pont,,
tanácsterem,tan,ács,terem,,
hazainteget,haza,int,eget,,
hadapródiskola,had,apród,iskola,,
húzóeszköz,húzó,esz,köz,,
vadászfegyvertok,vadász,fegyver,tok,,
pártfogolt,párt,fog,olt,,
lábszárfekély,láb,szár,fekély,,
telefonközpontos,telefon,köz,pontos,,
jeladókészülék,jel,adó,készülék,,
szótagnyújtás,szó,tag,nyújtás,,
vitakérdés,vita,kér,dés,,
fogolycsere,fog,oly,csere,,
hozzáreszel,hoz,zár,eszel,,
fölrobbantat,föl,robban,tat,,
karakteres,kar,akt,eres,,
napfényiszony,nap,fény,iszony,,
jégképződés,jég,képző,dés,,
szótáríró,szó,tár,író,,
erőszakmentes,erő,szak,mentes,,
táppénzcsaló,táp,pénz,csaló,,
örökségvadász,örökség,vad,ász,,
fejtőkalapács,fejtő,kalap,ács,,
hízókúrázik,hízó,kúr,ázik,,
bajvívótér,baj,vívó,tér,,
vadászpilóta,vad,ász,pilóta,,
fölszeletel,föl,szel,etel,,
boltvállsor,bolt,váll,sor,,
agysejtállomány,agy,sejt,állomány,,
ércsíptető,érc,síp,tető,,
hajszáldrót,haj,szál,drót,,
borzadalom,borz,ada,lom,,
könyvtártudomány,könyv,tár,tudomány,,
pudingpor,pud,ing,por,,
függvénytan,függ,vény,tan,,
röntgenfénykép,röntgen,fény,kép,,
páncélkocsi,pán,cél,kocsi,,
merkúrcsilla,mer,kúr,csilla,,
mélyedésképződés,mélyedés,képző,dés,,
félrecsuklik,félre,csuk,lik,,
csőtoldat,cső,tol,dat,,
kötőtéglasor,kötő,tégla,sor,,
teknősbékapáncél,teknősbéka,pán,cél,,
egybepántol,egybe,pán,tol,,
gázcseppfolyósító,gáz,csepp,folyósító,,
tűzhelylap,tűz,hely,lap,,
epefestőanyagok,epe,festő,anyagok,,
aktfénykép,akt,fény,kép,,
repülőgéptörzs,repülő,gép,törzs,,
érmesajtoláshoz,érme,sajtolás,hoz,,
cethalászhajó,cethal,ász,hajó,,
fokhagymakoszorú,fok,hagyma,koszorú,,
tengerésztiszté,tenger,ész,tiszté,,
tűzoltósisak,tűz,oltó,sisak,,
osztrigahalász,osztriga,hal,ász,,
fölesküszik,föl,eskü,szik,,
irodalomtudomány,iroda,lom,tudomány,,
fémbarométer,fém,barom,éter,,
államfogoly,állam,fog,oly,,
vadászkürt,vad,ász,kürt,,
szélmalomkar,szél,malom,kar,,
térdhajlat,térd,haj,lat,,
szakszókincs,szak,szó,kincs,,
feszítőcsigasor,feszítő,csiga,sor,,
zárszámadás,zár,szám,adás,,
karakterszínész,karakter,szín,ész,,
pörkölőkemence,pörk,ölő,kemence,,
viperafajzat,vip,era,fajzat,,
igazságszolgáltat,igazság,szolgál,tat,,
vízhűtőköpenyes,víz,hűtő,köpenyes,,
jelölőlista,jel,ölő,lista,,
szótagábécé,szó,tag,ábécé,,
hírlapirodalom,hír,lap,irodalom,,
hírlapirodalom,hírlap,iroda,lom,,
nyelvetölt,nyel,vet,ölt,,
közegészségügy,köz,egészség,ügy,,
munkabérköltség,munka,bér,költség,,
hegyivadász,hegyi,vad,ász,,
kontinensképződés,kontinens,képző,dés,,
lőszerraktár,lőszer,rak,tár,,
légtornász,lég,tor,nász,,
szakasztat,szak,asz,tat,,
meredeken,mer,ede,ken,,
szarvasbőr,szar,vas,bőr,,
diadalemlék,dia,dal,emlék,,
halásznadrág,hal,ász,nadrág,,
üzemgazdaságtan,üzem,gazdaság,tan,,
agyonkarmol,agyon,kar,mol,,
létszámemelés,lét,szám,emelés,,
takaréktűzhely,takarék,tűz,hely,,
térképvédő,tér,kép,védő,,
dohánymorzsalék,dohány,morzsa,lék,,
csapágybak,csap,ágy,bak,,
ecetsavgyök,ecet,sav,gyök,,
mezőnyhatárjel,mezőny,határ,jel,,
lábközépcsont,láb,közép,csont,,
fémgőzölés,fém,gőz,ölés,,
díszközgyűlés,dísz,köz,gyűlés,,
színésztársaság,szín,ész,társaság,,
rabszolgatartás,rab,szolga,tartás,,
részletgazdag,részlet,gaz,dag,,
tájkerttervező,táj,kert,tervező,,
színészgárda,szín,ész,gárda,,
légnyomásmérő,lég,nyomás,mérő,,
jégesőcsepp,jég,eső,csepp,,
tárgyalóképes,tárgy,aló,képes,,
félrekacsint,félre,kacs,int,,
agyagárugyár,agyag,áru,gyár,,
tengerészkabát,tenger,ész,kabát,,
hallatszik,hal,lat,szik,,
tengerészarc,teng,erész,arc,,
tengerészarc,tenger,ész,arc,,
gyapjúkártolás,gyapjú,kár,tolás,,
villámkérdés,villám,kér,dés,,
kopásállóság,kopás,áll,óság,,
vasalófogantyú,vas,aló,fogantyú,,
szótagszám,szó,tag,szám,,
izzadmányképződés,izzadmány,képző,dés,,
színpadkép,szín,pad,kép,,
farkasboroszlán,far,kas,boroszlán,,
légszivárgásmérő,lég,szivárgás,mérő,,
korlátgyakorlat,kor,lát,gyakorlat,,
viteldíjtáblázat,vitel,díj,táblázat,,
szabászgép,szab,ász,gép,,
légcsőmetszés,lég,cső,metszés,,
lépcsőzug,lép,cső,zug,,
ügyvédsegéd,ügy,véd,segéd,,
interlunárisidőszak,interlunáris,idő,szak,,
alkotmánybíróság,alkotmány,bír,óság,,
lakbérpótlék,lakbér,pót,lék,,
lakbérpótlék,lak,bér,pótlék,,
gyerekjátszótér,gyerek,játszó,tér,,
húzólégcsavar,húzó,lég,csavar,,
fejtámasz,fej,tám,asz,,
ügyetlenkedés,ügyet,lenke,dés,,
óraláncdísz,óra,lánc,dísz,,
marhakorlát,marha,kor,lát,,
repülőjelvény,repülő,jel,vény,,
hústejsav,hús,tej,sav,,
hangyasavamid,hangya,sav,amid,,
hadianyagraktár,hadianyag,rak,tár,,
csapágybélés,csap,ágy,bélés,,
gázfalikar,gáz,fali,kar,,
szarvasgombatelep,szar,vas,gombatelep,,
jobboldali,jobb,old,ali,,
jellemvígjáték,jellem,víg,játék,,
stopperóra,stop,per,óra,,
fűrészlapvezeték,fűrész,lap,vezeték,,
térképhálózat,tér,kép,hálózat,,
nyomógéphenger,nyomó,gép,henger,,
hashártyagyulladás,has,hártya,gyulladás,,
acetilszalicilsav,acetil,szalicil,sav,,
tűzoltócső,tűz,oltó,cső,,
pontifikál,pont,ifi,kál,,
bőrszakáll,bőr,szak,áll,,
viszontszerelem,visz,ont,szerelem,,
világnaptár,világ,nap,tár,,
ólomforrasz,ólom,forr,asz,,
vízvezetékszerelés,víz,vezeték,szerelés,,
vadászgép,vad,ász,gép,,
kártyakeverés,kártya,keve,rés,,
naprakész,nap,rak,ész,,
sportközvetítés,sport,köz,vetítés,,
szarvasfejű,szar,vas,fejű,,
célvagyonrendelés,cél,vagyon,rendelés,,
forrasztár,forr,asz,tár,,
tanácsház,tan,ács,ház,,
magaslégkörtan,magas,légkör,tan,,
evőeszközkészlet,evő,eszköz,készlet,,
pénztárnyitás,pénz,tár,nyitás,,
farkasnyak,far,kas,nyak,,
pókhálótömeg,pók,háló,tömeg,,
tanyaközpont,tanya,köz,pont,,
könyvraktár,könyv,rak,tár,,
fogadóórák,fog,adó,órák,,
kötvénytulajdonos,köt,vény,tulajdonos,,
tápszerreklám,táp,szer,reklám,,
csontképződés,csont,képző,dés,,
kémlelőeszköz,kémlelő,esz,köz,,
fölzarándokol,föl,zaránd,okol,,
asztagászok,asz,tag,ászok,,
támaszpont,tám,asz,pont,,
nádszáltermet,nád,szál,termet,,
árnyképrajz,árny,kép,rajz,,
légcsőférgesség,lég,cső,férgesség,,
fogadóiroda,fog,adó,iroda,,
kristályképződéstan,kristály,képződés,tan,,
árvalányhaj,árva,lány,haj,,
képsorszám,kép,sor,szám,,
fűzőkarika,fűző,kar,ika,,
kobaltszürke,kob,alt,szürke,,
tengerészkék,teng,erész,kék,,
kesztyűszabász,kesztyű,szab,ász,,
tengerészkék,tenger,ész,kék,,
vakondvadász,vakond,vad,ász,,
vakondvadász,vak,ond,vadász,,
kesztyűszabász,kesztyűs,zab,ász,,
fuvarozóvállalat,fuvarozó,válla,lat,,
közrészvét,köz,rész,vét,,
honvédkerület,hon,véd,kerület,,
esthajnalcsillag,est,hajnal,csillag,,
rabszolgahajó,rab,szolga,hajó,,
mozgókórház,mozgó,kór,ház,,
lábszárharisnya,láb,szár,harisnya,,
végigporoszkál,végig,porosz,kál,,
szarvasvadászat,szar,vas,vadászat,,
távíróhuzal,táv,író,huzal,,
kenyérkérdés,kenyér,kér,dés,,
hegymászóbot,hegy,mászó,bot,,
diatomaföld,dia,toma,föld,,
szolgáltat,szol,gál,tat,,
esővízgödör,eső,víz,gödör,,
törvénycsavaró,tör,vény,csavaró,,
falitérkép,fali,tér,kép,,
jelmeztervező,jel,mez,tervező,,
lóversenyfogadás,lóverseny,fog,adás,,
farkasfogak,far,kas,fogak,,
fejlécrajzoló,fej,léc,rajzoló,,
régenstárs,rég,ens,társ,,
prózairodalom,próza,iroda,lom,,
mammutvállalat,mammut,válla,lat,,
térképmozaik,tér,kép,mozaik,,
mosléktörköly,mos,lék,törköly,,
memoárirodalom,memoár,iroda,lom,,
terrortámadás,terror,tám,adás,,
sejtképződés,sejt,képző,dés,,
annaszófia,anna,szó,fia,,
gépkocsipark,gép,kocsi,park,,
villamosmérnök,villa,mos,mérnök,,
paprikaalom,pap,rika,alom,,
kanálfúrófej,kanál,fúró,fej,,
szennyvízcsatorna,szenny,víz,csatorna,,
madárjóslat,madár,jós,lat,,
rabszállítókocsi,rab,szállító,kocsi,,
középfülgyulladás,közép,fül,gyulladás,,
szinonimaszótár,szinonima,szó,tár,,
szinonimaszótár,szinonim,aszó,tár,,
hadbíróság,had,bír,óság,,
gépszíjbőr,gép,szíj,bőr,,
bájmosoly,báj,mos,oly,,
testvérváros,test,vér,város,,
csipkefejkendő,csipke,fej,kendő,,
ütőfejbőr,ütő,fej,bőr,,
haspuffadás,has,puff,adás,,
kézirattekercs,kéz,irat,tekercs,,
szélmarógép,szél,maró,gép,,
tanácsköztársaság,tanács,köz,társaság,,
tanácsköztársaság,tan,ács,köztársaság,,
atommagkutatás,atom,mag,kutatás,,
pacalpörkölt,pacal,pörk,ölt,,
pacalpörkölt,pacal,pör,költ,,
kártolófésű,kár,toló,fésű,,
üzletközpont,üzlet,köz,pont,,
babicajáték,bab,ica,játék,,
népdalkutatás,nép,dal,kutatás,,
írógépkocsi,író,gép,kocsi,,
könyvjutalom,könyv,jut,alom,,
könyvjutalom,könyv,juta,lom,,
törvényalkotás,tör,vény,alkotás,,
szívócsővezeték,szívó,cső,vezeték,,
egérürülék,egér,ürü,lék,,
rajtszárad,raj,tsz,árad,,
pénzügyigazgató,pénz,ügy,igazgató,,
hatásvadász,hatás,vad,ász,,
vetemedés,vet,eme,dés,,
kazánkőképződés,kazánkő,képző,dés,,
szarvashús,szar,vas,hús,,
légnedvességíró,lég,nedvesség,író,,
hajszálhasogatás,haj,szál,hasogatás,,
pénzkérdés,pénz,kér,dés,,
fogadókész,fog,adók,ész,,
kárhoztat,kár,hoz,tat,,
törvénysértő,tör,vény,sértő,,
hazaáramlik,haza,áram,lik,,
tűzoltóhajó,tűz,oltó,hajó,,
gázfőzőlap,gáz,főző,lap,,
fogínytályog,fog,íny,tályog,,
vadászkocsi,vad,ász,kocsi,,
tolvajtanya,tol,vaj,tanya,,
gúnymosoly,gúny,mos,oly,,
paraszthajszál,paraszt,haj,szál,,
félreszületik,félre,szüle,tik,,
gázmérőtartály,gáz,mérő,tartály,,
lépcsőköz,lép,cső,köz,,
fölkacsint,föl,kacs,int,,
ócskavaskereskedő,ócska,vas,kereskedő,,
harcszíntér,harc,szín,tér,,
jogászember,jog,ász,ember,,
kovácstűzhely,kovács,tűz,hely,,
végigfuttat,végig,fut,tat,,
jogászvilág,jog,ász,világ,,
fölpattogtat,föl,pattog,tat,,
rózsakertész,rózsa,kert,ész,,
póteszköz,pót,esz,köz,,
emlékiratíró,emlék,irat,író,,
fölszólaltat,föl,szólal,tat,,
fölszólaltat,föl,szól,altat,,
nemesfémpróba,nemes,fém,próba,,
színműirodalom,színmű,iroda,lom,,
jegypénztár,jegy,pénz,tár,,
evezőtollak,evező,tol,lak,,
magántulajdon,magán,tulaj,don,,
térképasztal,tér,kép,asztal,,
széloldali,szél,old,ali,,
határfogalom,határ,fog,alom,,
tanácsadó,tan,ács,adó,,
rombuszhal,rom,busz,hal,,
tarkánfoltos,tar,kán,foltos,,
méhkaptár,méh,kap,tár,,
képrejtvény,kép,rejt,vény,,
személydíjszabás,személy,díj,szabás,,
cethalászhajó,cet,halász,hajó,,
üdülőszálló,üdül,ősz,álló,,
kontesztál,kont,esz,tál,,
vadászruha,vad,ász,ruha,,
függőcsapágy,függő,csap,ágy,,
egybecsattan,egybe,csat,tan,,
ágyúcsőrés,ágyú,cső,rés,,
diafilmcsík,dia,film,csík,,
központfúró,köz,pont,fúró,,
uralomvágy,ura,lom,vágy,,
gímszarvas,gím,szar,vas,,
vasnyílvessző,vas,nyíl,vessző,,
tárgyalóterem,tárgy,aló,terem,,
kábelpáncél,kábel,pán,cél,,
gyermekkórház,gyermek,kór,ház,,
szivarraktár,szivar,rak,tár,,
méregraktár,méreg,rak,tár,,
férjjelölt,férj,jel,ölt,,
képernyőkezelés,kép,ernyő,kezelés,,
hisztériázik,hisz,tér,iázik,,
rabszolgasors,rab,szolga,sors,,
borjúpörkölt,borjú,pör,költ,,
arcképfestés,arc,kép,festés,,
végforrpont,vég,forr,pont,,
géppuskasorozat,gép,puska,sorozat,,
páciensjelölt,páciens,jel,ölt,,
kolostorbazár,kolos,tor,bazár,,
tanácskérő,tan,ács,kérő,,
borjúpörkölt,borjú,pörk,ölt,,
tanácsvezető,tan,ács,vezető,,
transzportál,transz,por,tál,,
vízimalom,víz,ima,lom,,
tervvázlat,terv,váz,lat,,
cukornádültetvény,cukor,nád,ültetvény,,
ráfészkel,ráf,ész,kel,,
állóeszköz,álló,esz,köz,,
inggomblyuk,ing,gomb,lyuk,,
menetkészen,menet,kés,zen,,
rendszerint,rend,szer,int,,
géppuskaágyazat,gép,puska,ágyazat,,
páncélterem,pán,cél,terem,,
pamutkarton,pamut,kar,ton,,
munkaerőhiány,munka,erő,hiány,,
síkmértan,sík,mér,tan,,
vezérfarkas,vezér,far,kas,,
településföldrajz,település,földr,ajz,,
szépirodalom,szép,iroda,lom,,
kéziszótár,kézi,szó,tár,,
reklámhadjárat,reklám,had,járat,,
mikrofénykép,mikro,fény,kép,,
sajtófogadás,sajtó,fog,adás,,
szóláshasonlat,szólás,hason,lat,,
üledékképződés,üledék,képző,dés,,
tüdőgümőkór,tüdő,gümő,kór,,
névsorolvasás,név,sor,olvasás,,
állásközvetítés,állás,köz,vetítés,,
kántoroldali,kán,torol,dali,,
kántoroldali,kántor,old,ali,,
fölmelegszik,föl,meleg,szik,,
kartonlap,kar,ton,lap,,
lépcsőpofa,lép,cső,pofa,,
farkasalma,far,kas,alma,,
alaptörvény,alap,tör,vény,,
utasáradat,utas,ára,dat,,
vázlattömb,váz,lat,tömb,,
állásközvetítő,állás,köz,vetítő,,
raktárajtó,rak,tár,ajtó,,
gégecsőmetszés,gége,cső,metszés,,
hazavonszol,haza,von,szol,,
fémalkatrész,fém,alkat,rész,,
rovarkártevő,rovar,kár,tevő,,
raktárállomány,rak,tár,állomány,,
fölhajlik,föl,haj,lik,,
útitérkép,úti,tér,kép,,
sertepertél,serte,per,tél,,
martinacél,mar,tina,cél,,
villamosvasút,villa,mos,vasút,,
dalszínház,dal,szín,ház,,
filmjelenet,film,jel,enet,,
hajószakács,hajó,szak,ács,,
testmértan,test,mér,tan,,
krómvasötvözet,króm,vas,ötvözet,,
sorskérdés,sors,kér,dés,,
amatőrcsoport,ama,tőr,csoport,,
farkaskuvasz,far,kas,kuvasz,,
mellvédoszlop,mell,véd,oszlop,,
szalonzenekar,szalon,zene,kar,,
almapálinka,alma,pál,inka,,
csecsemőhalandóság,csecs,emő,halandóság,,
rakodómunkás,rak,odó,munkás,,
közraktárjegy,köz,raktár,jegy,,
jobbágytársadalom,jobb,ágy,társadalom,,
hasadóanyag,has,adó,anyag,,
ácsolatszakasz,ácsolat,szak,asz,,
mellészáll,mell,ész,áll,,
csecsemőarcú,csecs,emő,arcú,,
szovjeturalom,szovjet,ura,lom,,
munkásképviselő,munkás,kép,viselő,,
erdőműveléstan,erdő,művelés,tan,,
uzsorabíróság,uzsora,bír,óság,,
árnyképkészítő,árny,kép,készítő,,
koksztűzhely,koksz,tűz,hely,,
hengerfejüreg,henger,fej,üreg,,
viszontszolgálat,visz,ont,szolgálat,,
tagjelölt,tag,jel,ölt,,
víztartalom,víz,tart,alom,,
fogalomvilág,fog,alom,világ,,
tengerészgyalogos,tenger,ész,gyalogos,,
adópótlék,adó,pót,lék,,
posztolytáska,poszt,oly,táska,,
hazajuttat,haza,jut,tat,,
vadászsapka,vad,ász,sapka,,
csecsemőápolás,csecs,emő,ápolás,,
szarvasnyakú,szar,vas,nyakú,,
közszeretet,köz,szer,etet,,
társastánc,tár,sas,tánc,,
szívótérnyomás,szívó,tér,nyomás,,
nyereménykötvény,nyeremény,köt,vény,,
lábfejtartó,láb,fej,tartó,,
taglétszám,tag,lét,szám,,
disznódagadó,disznó,dag,adó,,
portréfestő,por,tré,festő,,
végigkopogtat,végig,kopog,tat,,
népképviselő,nép,kép,viselő,,
magkezdeménybél,mag,kezdemény,bél,,
kézzelfoghatóság,kézzel,fog,hatóság,,
vízsebességmérő,víz,sebesség,mérő,,
szívbillentyű,szív,billen,tyű,,
helyreállat,hely,reál,lat,,
halászzsákmány,hal,ász,zsákmány,,
szerteiramlik,szerte,iram,lik,,
szembeáramlik,szembe,áram,lik,,
kötvényfajta,köt,vény,fajta,,
fölmagasztal,föl,mag,asztal,,
jégkorongpálya,jég,korong,pálya,,
színészegyüttes,szín,ész,együttes,,
televényképződés,televény,képző,dés,,
agyondíjaz,agy,ond,íjaz,,
szerencsekarperec,szerencse,kar,perec,,
lámpabélolló,lámpa,bél,olló,,
tűzhelyajtó,tűz,hely,ajtó,,
bizalomgerjesztő,biza,lom,gerjesztő,,
bizalomgerjesztő,biz,alom,gerjesztő,,
számtanpélda,szám,tan,példa,,
sugárártalom,sugár,árt,alom,,
íróasztalsor,író,asztal,sor,,
csavarkupakos,csavar,kupa,kos,,
óravázlat,óra,váz,lat,,
bálnahátfedélzet,bál,nahát,fedélzet,,
gépzongorakarton,gép,zongora,karton,,
toldatvitorla,tol,dat,vitorla,,
gépzongorakarton,gépzongora,kar,ton,,
arcüreggyulladás,arc,üreg,gyulladás,,
salakdugasz,salak,dug,asz,,
lakásközvetítés,lakás,köz,vetítés,,
istenkáromló,isten,kár,omló,,
föltúráztat,föl,túr,áztat,,
talajvízszivárgás,talaj,víz,szivárgás,,
turistatérkép,turista,tér,kép,,
híranyagközlés,hír,anyag,közlés,,
pénzügyminiszter,pénz,ügy,miniszter,,
baromfikeltető,baromfi,kel,tető,,
mérföldtonna,mér,föld,tonna,,
agrárkérdés,agrár,kér,dés,,
kabinetkérdés,kabinet,kér,dés,,
tánctanfolyam,tánc,tan,folyam,,
citromkarika,citrom,kar,ika,,
névszóképzés,név,szó,képzés,,
tanácsolhatóság,tan,ácsol,hatóság,,
lábszársebkötés,lábszár,seb,kötés,,
lábszársebkötés,láb,szár,sebkötés,,
diagrammutatólap,diagram,mutató,lap,,
rakodóárbocrúd,rakodó,árboc,rúd,,
rakodóárbocrúd,rak,odó,árbocrúd,,
gépészkovács,gép,ész,kovács,,
képtávírás,kép,táv,írás,,
végigvillámlik,végig,villám,lik,,
revüszínész,revü,szín,ész,,
ablakragasz,ablak,rag,asz,,
napszámosmunka,nap,számos,munka,,
drámairodalom,dráma,iroda,lom,,
hámigagyeplő,hám,iga,gyeplő,,
savtartalom,sav,tart,alom,,
csecsemőkelengye,csecs,emő,kelengye,,
csecsemőhalálozás,csecs,emő,halálozás,,
teakeverés,tea,keve,rés,,
laktanyaudvar,lak,tanya,udvar,,
raktározható,rak,tároz,ható,,
jutalomjátékos,juta,lom,játékos,,
jutalomjátékos,jut,alom,játékos,,
talajegyengetőeke,talaj,egyengető,eke,,
kardánkereszt,kar,dán,kereszt,,
bérszínvonal,bér,szín,vonal,,
vízfőnyomócső,vízfő,nyomó,cső,,
zergebőrszín,zerge,bőr,szín,,
kórházhajó,kór,ház,hajó,,
vércukorvizsgálat,vér,cukor,vizsgálat,,
társasház,tár,sas,ház,,
pénztártöbblet,pénz,tár,többlet,,
házhelyosztás,ház,hely,osztás,,
bűnügytan,bűn,ügy,tan,,
lábkormányrúd,láb,kormány,rúd,,
halászbokor,hal,ász,bokor,,
méhsejthűtő,méh,sejt,hűtő,,
munkaeszköz,munka,esz,köz,,
jelzőtűztorony,jelző,tűz,torony,,
hajnalhasadáskor,hajnal,hasadás,kor,,
sárfogólap,sár,fogó,lap,,
fejbőrmasszázs,fej,bőr,masszázs,,
víznyomásmérő,víz,nyomás,mérő,,
lábujjköz,láb,ujj,köz,,
tájkerttervezés,táj,kert,tervezés,,
kántorböjti,kán,tor,böjti,,
csillagatlasztan,csillag,atlasz,tan,,
irodalombarát,iroda,lom,barát,,
nősténymenyét,nős,tény,menyét,,
mellkaspunkció,mell,kas,punkció,,
halászcsónak,hal,ász,csónak,,
színházhajó,szín,ház,hajó,,
rizspálinka,rizs,pál,inka,,
gézkötőcsomó,géz,kötő,csomó,,
gépháztető,gép,ház,tető,,
törvényhozás,tör,vény,hozás,,
tarkánszőtt,tar,kán,szőtt,,
foglábköz,fog,láb,köz,,
nyomtatványdíjszabás,nyomtatvány,díj,szabás,,
eszközfonetika,esz,köz,fonetika,,
eszközfonetika,eszköz,fon,etika,,
bornyomókád,bor,nyomó,kád,,
húzókarika,húzó,kar,ika,,
csemetekertész,csemete,kert,ész,,
szaktanács,szak,tan,ács,,
szövetkenőgép,szövet,kenő,gép,,
férfialak,fér,fia,lak,,
fogyasztat,fogy,asz,tat,,
ötletgazdag,ötlet,gaz,dag,,
sebesültszállító,sebes,ült,szállító,,
sebesültszállító,sebesül,tsz,állító,,
sebészfőorvos,seb,ész,főorvos,,
farkascápa,far,kas,cápa,,
szójátékcsináló,szó,játék,csináló,,
szemüvegtok,szem,üveg,tok,,
gyorsáruszállítás,gyors,áru,szállítás,,
cérnakarika,cérna,kar,ika,,
dúsítószakasz,dúsító,szak,asz,,
zugtőzsdeügynök,zug,tőzsde,ügynök,,
pénzügyigazgatás,pénz,ügy,igazgatás,,
kötszerkészítő,köt,szer,készítő,,
lábszárcsont,láb,szár,csont,,
nyershúsevő,nyers,hús,evő,,
tanácsjegyző,tan,ács,jegyző,,
segédházmester,segéd,ház,mester,,
csapószeleptok,csapó,szelep,tok,,
vadászfegyver,vad,ász,fegyver,,
fölolvastat,föl,olvas,tat,,
májvértolulás,máj,vér,tolulás,,
hűtővízköpeny,hűtő,víz,köpeny,,
fogyóeszköz,fogyó,esz,köz,,
