count_of_chunks,corpus,chunk1,chunk2,euclidean_distance_chunk1_and_chunk2,euclidean_corpus_and_chunk1,euclidean_corpus_and_chunk2,euclidean_corpus_and_all_chunks,length_corpus,length_chunk1,length_chunk2,logfreq_corpus,logfreq_chunk1,logfreq_chunk2
2,amiért,a,miért,17.133464813232422,16.65709114074707,10.190644264221191,12.471415519714355,6,1,5,4.484086199357939,7.140228930161251,5.812709524483138
2,amiért,ami,ért,13.51408863067627,13.765374183654785,17.25913429260254,8.283533096313477,6,3,3,4.484086199357939,5.425899239595614,4.410439786210347
2,valahol,vala,hol,9.857635498046875,21.206064224243164,22.593856811523438,11.721776008605957,7,4,3,4.481112840841518,2.859138297294531,5.46656958913764
2,máris,már,is,16.100866317749023,10.335646629333496,18.214862823486328,12.280787467956543,5,3,2,4.464161541698929,6.011254016498379,6.274002353245673
2,fordította,fordított,a,18.897605895996094,11.976736068725586,15.724508285522461,15.48762035369873,10,9,1,4.458169313632835,3.279894980011638,7.140228930161251
2,nyomozó,nyomoz,ó,24.514902114868164,5.762763977050781,28.5017032623291,2.8544387817382812,7,6,1,4.451233624426789,3.079904467666721,5.3880727689225045
2,jöttél,jött,él,15.451774597167969,8.094611167907715,22.20016098022461,5.516578197479248,6,4,2,4.444481994685612,4.888151401516756,4.520928734708947
2,hagyja,hagyj,a,25.11174774169922,4.616239070892334,25.52014923095703,7.264667987823486,6,5,1,4.433177574067476,4.277700876288793,7.140228930161251
2,halál,hal,ál,7.404441833496094,13.836764335632324,15.521135330200195,9.1275053024292,5,3,2,4.432760907742915,4.108158951256403,2.622214022966295
2,lányok,lány,ok,17.716001510620117,8.431256294250488,22.98198699951172,6.366530418395996,6,4,2,4.431653197346576,4.882222760686668,4.570554614307831
2,adott,ad,ott,9.695353507995605,13.461164474487305,15.027250289916992,8.042047500610352,5,2,3,4.428118588708467,4.265996370495079,5.565865520533478
2,amiket,a,miket,16.620954513549805,17.17832374572754,7.409995079040527,11.843557357788086,6,1,5,4.423393345135083,7.140228930161251,3.832253370197008
2,mondok,mond,ok,10.809038162231445,13.164825439453125,15.104009628295898,6.598575115203857,6,4,2,4.417803722639881,4.603274316614141,4.570554614307831
