count_of_chunks,corpus,chunk1,chunk2,chunk3,euclidean_distance_chunk1_and_chunk2,euclidean_distance_chunk1_and_chunk3,euclidean_distance_chunk2_and_chunk3,euclidean_corpus_and_chunk1,euclidean_corpus_and_chunk2,euclidean_corpus_and_chunk3,euclidean_corpus_and_all_chunks,length_corpus,length_chunk1,length_chunk2,length_chunk3,logfreq_corpus,logfreq_chunk1,logfreq_chunk2,logfreq_chunk3
3,várjatok,vár,ja,tok,8.710493087768555,12.684011459350586,11.181563377380371,20.86874771118164,21.307350158691406,24.45244789123535,9.781929969787598,8,3,2,3,4.094610863032137,4.507248513918786,5.05815640487046,2.8779469516291885
3,valamire,vala,mi,re,12.268077850341797,11.2173490524292,11.800620079040527,21.59743881225586,22.656742095947266,22.582439422607422,9.396827697753906,8,4,2,2,4.091807597001675,2.859138297294531,6.162454474887796,3.6036855496146996
3,rendőrséget,rend,őrs,éget,23.068225860595703,12.270339965820312,21.74921226501465,25.835403442382812,19.72376823425293,27.28169822692871,11.181666374206543,11,4,3,4,4.04489238347436,3.4260230156898763,2.6532125137753435,3.0569048513364727
3,semmire,sem,mi,re,11.15335750579834,9.821883201599121,11.800620079040527,13.038846015930176,15.367321968078613,15.277105331420898,11.131794929504395,7,3,2,2,4.009153331907709,5.652412675851883,6.162454474887796,3.6036855496146996
3,egyelőre,egy,el,őre,16.07156753540039,17.713069915771484,20.915264129638672,26.677642822265625,28.758739471435547,17.95516014099121,9.90716552734375,8,3,2,3,3.9737280586880273,6.513669111473827,6.021003960549296,2.6599162000698504
3,egyelőre,egye,lő,re,10.963616371154785,15.549128532409668,15.659022331237793,16.758337020874023,17.459203720092773,27.29600715637207,11.719276428222656,8,4,2,2,3.9737280586880273,3.2711443179490782,3.3230457354817013,3.6036855496146996
3,barátnőm,bar,át,nőm,9.351741790771484,22.981361389160156,21.77329444885254,30.12724494934082,29.69794273376465,13.422586441040039,9.71739387512207,8,3,2,3,3.9616583486377155,2.998259338423699,5.1193482825304715,2.69284691927723
3,fogadok,fog,ad,ok,11.0886812210083,11.7525053024292,10.674763679504395,19.47577476501465,22.155460357666016,22.696443557739258,7.99318265914917,7,3,2,2,3.9611837098124356,5.393961071337533,4.265996370495079,4.570554614307831
3,segítségre,segíts,ég,re,16.452186584472656,16.539514541625977,9.79969310760498,13.43865966796875,27.05458641052246,26.673728942871094,4.820621013641357,10,6,2,2,3.9608036249117697,4.421554572419877,4.60959440922522,3.6036855496146996
3,magaddal,mag,ad,dal,11.848569869995117,12.120243072509766,7.946461200714111,20.7982234954834,20.565847396850586,20.891651153564453,7.91065788269043,8,3,2,3,3.931356150467928,3.1755118133634475,4.265996370495079,3.8783494222177755
3,valamikor,vala,mi,kor,12.268077850341797,11.67742919921875,13.159287452697754,21.921390533447266,23.199689865112305,22.570138931274414,8.251961708068848,9,4,2,3,3.9208534961212593,2.859138297294531,6.162454474887796,3.4077307280263356
3,olyasmi,oly,as,mi,11.055100440979004,12.633347511291504,11.935214042663574,20.43784523010254,20.686559677124023,21.2364559173584,6.337592601776123,7,3,2,2,3.92069713446992,4.061942292028086,3.118595365223762,6.162454474887796
3,barátnője,bar,át,nője,9.351741790771484,23.385337829589844,22.25453758239746,30.76923370361328,30.33717155456543,13.101539611816406,11.262442588806152,9,3,2,4,3.919705534549121,2.998259338423699,5.1193482825304715,3.0507663112330423
3,ismerte,is,mer,te,11.09057903289795,10.594688415527344,11.172768592834473,15.887511253356934,16.274106979370117,15.884747505187988,10.714515686035156,7,2,3,2,3.9072500828813284,6.274002353245673,3.678154038010437,5.976474700373688
3,hétvégén,hét,vég,én,16.594470977783203,16.39491081237793,9.279319763183594,14.04202938079834,25.3267822265625,26.383981704711914,6.624532222747803,8,3,3,2,3.901894031973821,4.561661786781147,3.5085297189712867,6.157086084559995
3,hagyjátok,hagyj,át,ok,24.15299415588379,25.202829360961914,10.321622848510742,8.179880142211914,28.649423599243164,29.60780143737793,9.049095153808594,9,5,2,2,3.8998751960210107,4.277700876288793,5.1193482825304715,4.570554614307831
3,egyértelmű,egyért,el,mű,19.851713180541992,12.813004493713379,20.021574020385742,13.919214248657227,29.77314567565918,17.689382553100586,6.706161022186279,10,6,2,2,3.890532791927745,2.678518379040114,6.021003960549296,2.9175055095525466
3,vasárnap,vas,ár,nap,11.02346420288086,10.458524703979492,10.825393676757812,20.607534408569336,21.376567840576172,21.170316696166992,8.338788986206055,8,3,2,3,3.880127322216625,3.204933522354145,3.481012420956573,5.132003392986632
3,hozzátok,hozz,át,ok,16.417444229125977,16.944625854492188,10.321622848510742,15.84264850616455,27.193626403808594,27.93535614013672,9.56831169128418,8,4,2,2,3.877774349991398,3.9587071910872846,5.1193482825304715,4.570554614307831
3,egymáshoz,egy,más,hoz,15.545879364013672,14.902913093566895,9.792484283447266,27.547992706298828,27.26120948791504,26.17243766784668,9.940157890319824,9,3,3,3,3.8766796104192003,6.513669111473827,5.199343718689392,4.024772913079632
3,történetet,tört,én,etet,13.88359260559082,13.732505798339844,6.964864253997803,18.461345672607422,29.32402229309082,29.961584091186523,5.528444290161133,10,4,2,4,3.8727970399895986,3.6473829701146196,6.157086084559995,2.45178643552429
3,fogjátok,fogj,át,ok,16.96306800842285,17.823104858398438,10.321622848510742,13.377252578735352,22.95226287841797,23.660160064697266,13.652249336242676,8,4,2,2,3.8499719123288503,3.166726055580052,5.1193482825304715,4.570554614307831
3,ismerős,is,mer,ős,11.09057903289795,9.857979774475098,11.216012954711914,16.213945388793945,17.105966567993164,16.38939666748047,18.806291580200195,7,2,3,2,3.8436687229791437,6.274002353245673,3.678154038010437,2.593286067020457
3,barátnőd,bar,át,nőd,9.351741790771484,16.639122009277344,15.832741737365723,25.68393325805664,25.44536590576172,15.66547966003418,9.199434280395508,8,3,2,3,3.804412059137714,2.998259338423699,5.1193482825304715,2.6483600109809315
3,mondhatok,mond,ha,tok,10.051362037658691,11.883273124694824,11.832426071166992,21.612030029296875,21.718334197998047,23.629295349121094,6.051960468292236,9,4,2,3,3.782973994944048,4.603274316614141,6.17849550526079,2.8779469516291885
3,mondhatok,mond,hat,ok,10.70759105682373,10.809038162231445,12.136322021484375,21.612030029296875,20.28815460205078,22.086862564086914,7.27498197555542,9,4,3,2,3.782973994944048,4.603274316614141,4.542788093450676,4.570554614307831
3,mindenesetre,minden,eset,re,14.10089111328125,17.916391372680664,16.014554977416992,13.502050399780273,19.027883529663086,27.284997940063477,6.691103935241699,12,6,4,2,3.7707783961691477,5.660283816789099,4.019822224167774,3.6036855496146996
3,mondjátok,mondj,át,ok,14.650087356567383,15.805342674255371,10.321622848510742,10.939626693725586,21.227577209472656,22.061792373657227,10.28814697265625,9,5,2,2,3.759969857554307,4.2452411489044595,5.1193482825304715,4.570554614307831
3,végeztél,vég,ez,tél,10.777746200561523,14.840795516967773,15.855544090270996,25.320837020874023,26.73253059387207,15.762045860290527,8.939913749694824,8,3,2,3,3.754501229386917,3.5085297189712867,6.333684409097302,3.3209766773428235
3,végeztél,vég,ezt,él,14.718169212341309,9.7432279586792,15.625012397766113,25.320837020874023,17.01369285583496,27.738300323486328,10.222943305969238,8,3,3,2,3.754501229386917,3.5085297189712867,5.93531677937607,4.520928734708947
3,bármire,bár,mi,re,17.879907608032227,17.357492446899414,11.800620079040527,10.518990516662598,21.438745498657227,20.967805862426758,11.83791732788086,7,3,2,2,3.749427099121749,4.661964047212368,6.162454474887796,3.6036855496146996
3,akarjátok,akarj,át,ok,15.190834045410156,15.960071563720703,10.321622848510742,10.85236930847168,21.538501739501953,22.36069679260254,10.726664543151855,9,5,2,2,3.73870130043471,3.157456768134226,5.1193482825304715,4.570554614307831
3,kérdésre,kérd,és,re,22.234516143798828,22.029951095581055,9.258041381835938,6.815698146820068,25.63701629638672,25.87666893005371,7.789396286010742,8,4,2,2,3.7378285058957847,3.449324093098727,6.556241936591766,3.6036855496146996
3,maradjatok,mar,adja,tok,16.880159378051758,13.662920951843262,19.48236846923828,20.831642150878906,11.522411346435547,25.01142692565918,8.751863479614258,10,3,4,3,3.732634967539196,3.1245042248342823,4.427145161242989,2.8779469516291885
3,maradjatok,marad,ja,tok,16.321413040161133,19.791061401367188,11.181563377380371,10.096022605895996,21.930639266967773,25.01142692565918,8.657620429992676,10,5,2,3,3.732634967539196,4.537982711445016,5.05815640487046,2.8779469516291885
3,látható,lát,ha,tó,16.18095588684082,11.335808753967285,15.342690467834473,10.484026908874512,16.17840576171875,10.44383716583252,15.013693809509277,7,3,2,2,3.7197454925295768,4.081599312732936,6.17849550526079,3.4243915544102776
3,társaság,tár,sas,ág,16.32683563232422,17.3133487701416,12.762835502624512,11.884974479675293,21.127037048339844,21.64826011657715,14.174392700195312,8,3,3,2,3.7166709755601355,2.645422269349092,3.2581581933407944,2.720159303405957
3,társaság,társ,as,ág,16.04662322998047,16.769935607910156,10.982884407043457,8.38022518157959,21.33994483947754,21.64826011657715,11.656624794006348,8,4,2,2,3.7166709755601355,3.1925674533365456,3.118595365223762,2.720159303405957
3,házasok,ház,as,ok,8.949583053588867,10.349249839782715,10.278040885925293,20.867727279663086,22.231922149658203,22.27159309387207,7.320925235748291,7,3,2,2,3.7166709755601355,4.429510040813138,3.118595365223762,4.570554614307831
3,védelmi,véd,el,mi,13.517757415771484,13.06530475616455,14.398317337036133,12.806171417236328,18.618635177612305,17.30755043029785,10.629706382751465,7,3,2,2,3.714329759745233,3.0610753236297916,6.021003960549296,6.162454474887796
3,valakire,vala,ki,re,10.861083030700684,11.2173490524292,10.96537971496582,21.676021575927734,21.967456817626953,22.961002349853516,7.619925498962402,8,4,2,2,3.706803097037338,2.859138297294531,5.958297682814038,3.6036855496146996
3,épületet,ép,ül,etet,12.317071914672852,8.50782299041748,11.352160453796387,20.314428329467773,23.243349075317383,22.15496253967285,8.863250732421875,8,2,2,4,3.6989700043360187,3.2219355998280053,4.029221394253928,2.45178643552429
3,szerezte,szer,ez,te,10.612817764282227,10.685553550720215,10.779348373413086,20.761192321777344,20.971832275390625,21.286128997802734,9.166007041931152,8,4,2,2,3.683227206041435,3.13481437032046,6.333684409097302,5.976474700373688
3,emberiség,ember,is,ég,9.772151947021484,10.153136253356934,11.014361381530762,13.654400825500488,16.556203842163086,16.729820251464844,8.128487586975098,9,5,2,2,3.6828667956623247,5.316075234838397,6.274002353245673,4.60959440922522
3,észrevettem,ész,re,vettem,10.576953887939453,22.46578025817871,22.184415817260742,26.16672134399414,26.667518615722656,9.2575101852417,8.212878227233887,11,3,2,6,3.6774244377012475,3.3012470886362113,3.6036855496146996,4.6132073521037595
3,valamiért,vala,mi,ért,12.268077850341797,10.662582397460938,13.198513984680176,21.841089248657227,23.281818389892578,23.565305709838867,9.953038215637207,9,4,2,3,3.6761446803562063,2.859138297294531,6.162454474887796,4.410439786210347
3,rendőrségnek,rend,őrs,égnek,23.068225860595703,16.198749542236328,18.299884796142578,29.39756202697754,23.31133270263672,21.079782485961914,9.326447486877441,12,4,3,5,3.6623800200162475,3.4260230156898763,2.6532125137753435,3.705521613422667
3,kérdezte,kérd,ez,te,23.187114715576172,22.75972557067871,10.779348373413086,6.913273334503174,26.343978881835938,26.167308807373047,9.138096809387207,8,4,2,2,3.6615287401319825,3.449324093098727,6.333684409097302,5.976474700373688
3,szerelmi,szer,el,mi,13.56324577331543,12.862713813781738,14.398317337036133,12.962112426757812,18.928064346313477,17.197134017944336,9.85643482208252,8,4,2,2,3.651762447380111,3.13481437032046,6.021003960549296,6.162454474887796
3,érdekelt,ér,de,kelt,12.92025089263916,17.89253044128418,19.594501495361328,20.726516723632812,22.991975784301758,12.470823287963867,9.51955509185791,8,2,2,4,3.64777405026883,4.4348402532975735,6.256956950858988,3.4825877695267677
3,adhatok,ad,ha,tok,8.97132682800293,12.52869987487793,11.832426071166992,12.972238540649414,13.961127281188965,15.99325942993164,12.101872444152832,7,2,2,3,3.6462076122066853,4.265996370495079,6.17849550526079,2.8779469516291885
3,adhatok,ad,hat,ok,10.606886863708496,10.674763679504395,12.136322021484375,12.972238540649414,14.351841926574707,15.018619537353516,13.101347923278809,7,2,3,2,3.6462076122066853,4.265996370495079,4.542788093450676,4.570554614307831
3,történjen,tört,én,jen,13.88359260559082,15.207810401916504,8.289146423339844,14.258825302124023,25.336002349853516,25.966869354248047,6.13125467300415,9,4,2,3,3.6451273992583912,3.6473829701146196,6.157086084559995,3.5240064455573727
3,kérdezhetek,kérd,ez,hetek,23.187114715576172,14.504326820373535,16.41225814819336,10.470789909362793,29.414220809936523,18.732271194458008,7.450623989105225,11,4,2,5,3.6307328928171967,3.449324093098727,6.333684409097302,3.4824447919182653
3,olyasmit,oly,as,mit,11.055100440979004,11.019035339355469,10.386107444763184,20.704225540161133,21.079612731933594,21.0052433013916,7.313046455383301,8,3,2,3,3.6280822609906793,4.061942292028086,3.118595365223762,5.950237760826466
3,istenverte,isten,ver,te,9.066946983337402,8.910011291503906,10.266874313354492,13.860100746154785,15.513647079467773,16.47629737854004,10.03921127319336,10,5,3,2,3.62797998982998,4.9355425319261474,3.394801777162711,5.976474700373688
3,maradhat,mar,ad,hat,11.455500602722168,11.751867294311523,10.606886863708496,13.425076484680176,15.593415260314941,15.925546646118164,11.25490665435791,8,3,2,3,3.62096843564429,3.1245042248342823,4.265996370495079,4.542788093450676
3,mérföldre,mér,föld,re,15.269879341125488,8.828132629394531,15.4896879196167,19.98703956604004,10.80260181427002,20.385648727416992,8.088785171508789,9,3,4,2,3.620760489994206,2.977266212427293,4.316766870141431,3.6036855496146996
3,holnapi,hol,na,pi,11.282809257507324,10.709196090698242,11.426775932312012,21.313138961791992,21.669485092163086,22.454071044921875,6.782160758972168,7,3,2,2,3.611723308007342,5.46656958913764,5.210690307241179,2.74350976472843
3,található,talál,ha,tó,17.593002319335938,11.263065338134766,15.342690467834473,8.334516525268555,23.43110466003418,14.182977676391602,6.9336724281311035,9,5,2,2,3.608312042697327,3.9501700598082,6.17849550526079,3.4243915544102776
3,érdekelnek,ér,de,kelnek,12.92025089263916,17.321226119995117,18.893753051757812,26.367584228515625,28.066978454589844,13.596701622009277,7.520095348358154,10,2,2,6,3.6058435390580894,4.4348402532975735,6.256956950858988,2.720159303405957
3,tetején,te,tej,én,6.45469856262207,9.526695251464844,8.458471298217773,16.590646743774414,16.141862869262695,15.354485511779785,12.727136611938477,7,2,3,2,3.6010817277840235,5.976474700373688,3.4727564493172123,6.157086084559995
3,hozhatok,hoz,ha,tok,8.2675199508667,12.083661079406738,11.832426071166992,20.510557174682617,22.53160285949707,24.223739624023438,8.356154441833496,8,3,2,3,3.5986810989071634,4.024772913079632,6.17849550526079,2.8779469516291885
3,hozhatok,hoz,hat,ok,9.885565757751465,10.440560340881348,12.136322021484375,20.510557174682617,21.425411224365234,22.558576583862305,10.767961502075195,8,3,3,2,3.5986810989071634,4.024772913079632,4.542788093450676,4.570554614307831
3,hónapok,hó,nap,ok,16.499286651611328,16.937366485595703,11.765084266662598,16.842662811279297,26.266836166381836,27.664934158325195,10.051091194152832,7,2,3,2,3.5883837683787276,3.7712199019495336,5.132003392986632,4.570554614307831
3,semmiért,sem,mi,ért,11.15335750579834,10.442307472229004,13.198513984680176,20.618938446044922,22.004005432128906,22.303617477416992,9.590246200561523,8,3,2,3,3.5861370252307934,5.652412675851883,6.162454474887796,4.410439786210347
